# == pyFAI calibration ==
# Distance Sample to Detector: 0.2946421923531691 m
# PONI: 2.875e-01, 2.439e-01 m
# Rotations: -0.010990 -0.009181 0.000003 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 294.672 mm
# Center: x=1436.809, y=1655.851 pix
# Tilt: 0.820 deg  TiltPlanRot: -39.874 deg
# 
# Detector Pilatus 2M	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 2.0732883349524408e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# --> /gpfs/current/raw/FMue_3/FMue_3_20231024_175355_00038.dat
#       2th_deg             I 
  6.762477e-02             nan
  1.715822e-01             nan
  2.755396e-01             nan
  3.794971e-01             nan
  4.834545e-01             nan
  5.874120e-01             nan
  6.913694e-01             nan
  7.953268e-01    9.803819e+03
  8.992843e-01    9.056760e+03
  1.003242e+00    8.153684e+03
  1.107199e+00    7.925730e+03
  1.211157e+00    7.953588e+03
  1.315114e+00    8.113594e+03
  1.419071e+00    8.882730e+03
  1.523029e+00    2.162477e+04
  1.626986e+00    2.447016e+04
  1.730944e+00    1.033651e+04
  1.834901e+00    9.666364e+03
  1.938859e+00    1.014014e+04
  2.042816e+00    9.863960e+03
  2.146774e+00    1.008910e+04
  2.250731e+00    1.070839e+04
  2.354688e+00    1.169488e+04
  2.458646e+00    1.263506e+04
  2.562603e+00    1.348796e+04
  2.666561e+00    1.426629e+04
  2.770518e+00    1.452194e+04
  2.874476e+00    1.450200e+04
  2.978433e+00    1.400930e+04
  3.082390e+00    1.576081e+04
  3.186348e+00    1.724428e+04
  3.290305e+00    1.218484e+04
  3.394263e+00    1.033372e+04
  3.498220e+00    9.572396e+03
  3.602178e+00    9.100070e+03
  3.706135e+00    9.019089e+03
  3.810093e+00    8.477491e+03
  3.914050e+00    7.851535e+03
  4.018007e+00    7.760028e+03
  4.121965e+00    7.971209e+03
  4.225922e+00    8.122833e+03
  4.329880e+00    8.334159e+03
  4.433837e+00    8.031370e+03
  4.537795e+00    1.151301e+04
  4.641752e+00    1.133208e+04
  4.745709e+00    7.985860e+03
  4.849667e+00    8.519218e+03
  4.953624e+00    8.876414e+03
  5.057582e+00    8.483670e+03
  5.161539e+00    1.203083e+04
  5.265497e+00    9.360321e+03
  5.369454e+00    5.987404e+03
  5.473412e+00    5.426191e+03
  5.577369e+00    5.234758e+03
  5.681326e+00    5.296506e+03
  5.785284e+00    6.109273e+03
  5.889241e+00    7.757493e+03
  5.993199e+00    8.729293e+03
  6.097156e+00    1.032764e+04
  6.201114e+00    9.359337e+03
  6.305071e+00    6.080562e+03
  6.409028e+00    5.872878e+03
  6.512986e+00    5.232052e+03
  6.616943e+00    5.022506e+03
  6.720901e+00    4.937490e+03
  6.824858e+00    5.234330e+03
  6.928816e+00    6.182237e+03
  7.032773e+00    5.183429e+03
  7.136731e+00    4.948977e+03
  7.240688e+00    5.300656e+03
  7.344645e+00    5.922226e+03
  7.448603e+00    5.262349e+03
  7.552560e+00    5.237847e+03
  7.656518e+00    6.229460e+03
  7.760475e+00    8.126909e+03
  7.864433e+00    8.327537e+03
  7.968390e+00    7.552025e+03
  8.072347e+00    6.163459e+03
  8.176305e+00    7.033235e+03
  8.280262e+00    7.529878e+03
  8.384220e+00    9.590481e+03
  8.488177e+00    1.171535e+04
  8.592135e+00    9.990007e+03
  8.696092e+00    6.460674e+03
  8.800050e+00    5.235701e+03
  8.904007e+00    5.292607e+03
  9.007964e+00    5.962606e+03
  9.111922e+00    5.665765e+03
  9.215879e+00    5.316208e+03
  9.319837e+00    5.721854e+03
  9.423794e+00    5.528001e+03
  9.527752e+00    5.746872e+03
  9.631709e+00    5.617093e+03
  9.735666e+00    5.128081e+03
  9.839624e+00    5.137162e+03
  9.943581e+00    5.174108e+03
  1.004754e+01    4.770112e+03
  1.015150e+01    4.398295e+03
  1.025545e+01    4.279857e+03
  1.035941e+01    4.511324e+03
  1.046337e+01    4.403131e+03
  1.056733e+01    3.899982e+03
  1.067128e+01    3.915860e+03
  1.077524e+01    3.652741e+03
  1.087920e+01    3.486619e+03
  1.098316e+01    3.595238e+03
  1.108711e+01    3.674244e+03
  1.119107e+01    3.636578e+03
  1.129503e+01    3.816429e+03
  1.139899e+01    3.764858e+03
  1.150294e+01    3.745583e+03
  1.160690e+01    3.723195e+03
  1.171086e+01    3.680988e+03
  1.181482e+01    4.075858e+03
  1.191877e+01    4.347722e+03
  1.202273e+01    3.968809e+03
  1.212669e+01    4.072000e+03
  1.223064e+01    3.938271e+03
  1.233460e+01    3.841258e+03
  1.243856e+01    3.654806e+03
  1.254252e+01    3.673671e+03
  1.264647e+01    3.596289e+03
  1.275043e+01    3.436542e+03
