# == pyFAI calibration ==
# Distance Sample to Detector: 0.2946421923531691 m
# PONI: 2.875e-01, 2.439e-01 m
# Rotations: -0.010990 -0.009181 0.000003 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 294.672 mm
# Center: x=1436.809, y=1655.851 pix
# Tilt: 0.820 deg  TiltPlanRot: -39.874 deg
# 
# Detector Pilatus 2M	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 2.0732883349524408e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# --> /gpfs/current/raw/FMue_3/FMue_3_20231024_175355_00078.dat
#       2th_deg             I 
  6.762477e-02             nan
  1.715822e-01             nan
  2.755396e-01             nan
  3.794971e-01             nan
  4.834545e-01             nan
  5.874120e-01             nan
  6.913694e-01             nan
  7.953268e-01    1.456154e+04
  8.992843e-01    1.268364e+04
  1.003242e+00    1.058642e+04
  1.107199e+00    9.614746e+03
  1.211157e+00    9.114480e+03
  1.315114e+00    8.857748e+03
  1.419071e+00    8.798041e+03
  1.523029e+00    8.809622e+03
  1.626986e+00    8.916964e+03
  1.730944e+00    9.217215e+03
  1.834901e+00    9.884028e+03
  1.938859e+00    1.036752e+04
  2.042816e+00    1.008957e+04
  2.146774e+00    1.031544e+04
  2.250731e+00    1.103085e+04
  2.354688e+00    1.209817e+04
  2.458646e+00    1.283674e+04
  2.562603e+00    1.378308e+04
  2.666561e+00    1.451149e+04
  2.770518e+00    1.474331e+04
  2.874476e+00    1.465751e+04
  2.978433e+00    1.403865e+04
  3.082390e+00    1.326541e+04
  3.186348e+00    1.228618e+04
  3.290305e+00    1.134551e+04
  3.394263e+00    1.049683e+04
  3.498220e+00    9.801385e+03
  3.602178e+00    9.373731e+03
  3.706135e+00    9.333866e+03
  3.810093e+00    8.859697e+03
  3.914050e+00    8.362644e+03
  4.018007e+00    8.451432e+03
  4.121965e+00    8.805267e+03
  4.225922e+00    9.003971e+03
  4.329880e+00    9.181194e+03
  4.433837e+00    8.536560e+03
  4.537795e+00    8.279887e+03
  4.641752e+00    8.691247e+03
  4.745709e+00    9.729643e+03
  4.849667e+00    1.087869e+04
  4.953624e+00    1.061131e+04
  5.057582e+00    9.604243e+03
  5.161539e+00    8.671372e+03
  5.265497e+00    7.375795e+03
  5.369454e+00    6.157904e+03
  5.473412e+00    5.707824e+03
  5.577369e+00    5.618858e+03
  5.681326e+00    5.816594e+03
  5.785284e+00    6.669112e+03
  5.889241e+00    8.772969e+03
  5.993199e+00    9.397573e+03
  6.097156e+00    7.838092e+03
  6.201114e+00    6.265445e+03
  6.305071e+00    5.685046e+03
  6.409028e+00    5.765126e+03
  6.512986e+00    5.320016e+03
  6.616943e+00    5.127063e+03
  6.720901e+00    5.013387e+03
  6.824858e+00    4.862317e+03
  6.928816e+00    4.886063e+03
  7.032773e+00    5.044822e+03
  7.136731e+00    5.241084e+03
  7.240688e+00    5.338580e+03
  7.344645e+00    5.461028e+03
  7.448603e+00    5.690482e+03
  7.552560e+00    6.038605e+03
  7.656518e+00    6.573543e+03
  7.760475e+00    6.891846e+03
  7.864433e+00    6.792773e+03
  7.968390e+00    6.636660e+03
  8.072347e+00    6.737173e+03
  8.176305e+00    7.434641e+03
  8.280262e+00    8.500387e+03
  8.384220e+00    1.045545e+04
  8.488177e+00    1.281144e+04
  8.592135e+00    1.026755e+04
  8.696092e+00    6.566180e+03
  8.800050e+00    5.556095e+03
  8.904007e+00    5.362785e+03
  9.007964e+00    5.456723e+03
  9.111922e+00    5.405808e+03
  9.215879e+00    5.278312e+03
  9.319837e+00    5.279447e+03
  9.423794e+00    5.351616e+03
  9.527752e+00    5.369094e+03
  9.631709e+00    5.407658e+03
  9.735666e+00    5.309570e+03
  9.839624e+00    5.107353e+03
  9.943581e+00    4.864292e+03
  1.004754e+01    4.681084e+03
  1.015150e+01    4.529248e+03
  1.025545e+01    4.430847e+03
  1.035941e+01    4.457686e+03
  1.046337e+01    4.329235e+03
  1.056733e+01    3.914161e+03
  1.067128e+01    3.747928e+03
  1.077524e+01    3.653723e+03
  1.087920e+01    3.569983e+03
  1.098316e+01    3.557677e+03
  1.108711e+01    3.618611e+03
  1.119107e+01    3.732550e+03
  1.129503e+01    3.856932e+03
  1.139899e+01    3.937517e+03
  1.150294e+01    3.908876e+03
  1.160690e+01    3.816169e+03
  1.171086e+01    3.813465e+03
  1.181482e+01    3.982460e+03
  1.191877e+01    4.055170e+03
  1.202273e+01    3.820324e+03
  1.212669e+01    3.657477e+03
  1.223064e+01    3.578331e+03
  1.233460e+01    3.496596e+03
  1.243856e+01    3.483353e+03
  1.254252e+01    3.494385e+03
  1.264647e+01    3.500365e+03
  1.275043e+01    3.555459e+03
