# == pyFAI calibration ==
# Distance Sample to Detector: 0.2946421923531691 m
# PONI: 2.875e-01, 2.439e-01 m
# Rotations: -0.010990 -0.009181 0.000003 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 294.672 mm
# Center: x=1436.809, y=1655.851 pix
# Tilt: 0.820 deg  TiltPlanRot: -39.874 deg
# 
# Detector Pilatus 2M	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 2.0732883349524408e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# --> /gpfs/current/raw/FMue_3/FMue_3_20231024_175355_00022.dat
#       2th_deg             I 
  1.742852e+01    2.765424e+03
  1.753247e+01    2.773026e+03
  1.763643e+01    2.717012e+03
  1.774039e+01    2.698796e+03
  1.784435e+01    2.684453e+03
  1.794830e+01    2.677544e+03
  1.805226e+01    2.695261e+03
  1.815622e+01    2.708718e+03
  1.826018e+01    2.699260e+03
  1.836413e+01    2.633027e+03
  1.846809e+01    2.646115e+03
  1.857205e+01    2.623088e+03
  1.867601e+01    2.594422e+03
  1.877996e+01    2.595392e+03
  1.888392e+01    2.610877e+03
  1.898788e+01    2.599129e+03
  1.909184e+01    2.577123e+03
  1.919579e+01    2.509476e+03
  1.929975e+01    2.484415e+03
  1.940371e+01    2.487214e+03
  1.950767e+01    2.475853e+03
  1.961162e+01    2.485541e+03
  1.971558e+01    2.505922e+03
  1.981954e+01    2.479133e+03
  1.992350e+01    2.484402e+03
  2.002745e+01    2.480282e+03
  2.013141e+01    2.462667e+03
  2.023537e+01    2.441717e+03
  2.033933e+01    2.433895e+03
  2.044328e+01    2.422558e+03
  2.054724e+01    2.444878e+03
  2.065120e+01    2.467978e+03
  2.075515e+01    2.445997e+03
  2.085911e+01    2.436385e+03
  2.096307e+01    2.401811e+03
  2.106703e+01    2.380282e+03
  2.117098e+01    2.375257e+03
  2.127494e+01    2.357529e+03
  2.137890e+01    2.346712e+03
  2.148286e+01    2.345991e+03
  2.158681e+01    2.339913e+03
  2.169077e+01    2.319197e+03
  2.179473e+01    2.293372e+03
  2.189869e+01    2.291825e+03
  2.200264e+01    2.307524e+03
  2.210660e+01    2.306538e+03
  2.221056e+01    2.301303e+03
  2.231452e+01    2.314256e+03
  2.241847e+01    2.297678e+03
  2.252243e+01    2.313784e+03
  2.262639e+01    2.318655e+03
  2.273035e+01    2.313711e+03
  2.283430e+01    2.290901e+03
  2.293826e+01    2.263671e+03
  2.304222e+01    2.254789e+03
  2.314618e+01    2.247715e+03
  2.325013e+01    2.249976e+03
  2.335409e+01    2.263083e+03
  2.345805e+01    2.273239e+03
  2.356201e+01    2.268881e+03
  2.366596e+01    2.253025e+03
  2.376992e+01    2.252959e+03
  2.387388e+01    2.257275e+03
  2.397784e+01    2.254947e+03
  2.408179e+01    2.248646e+03
  2.418575e+01    2.231726e+03
  2.428971e+01    2.220057e+03
  2.439367e+01    2.199815e+03
  2.449762e+01    2.186140e+03
  2.460158e+01    2.175313e+03
  2.470554e+01    2.165937e+03
  2.480949e+01    2.157848e+03
  2.491345e+01    2.155313e+03
  2.501741e+01    2.152039e+03
  2.512137e+01    2.148255e+03
  2.522532e+01    2.109339e+03
  2.532928e+01    2.084822e+03
  2.543324e+01    2.068135e+03
  2.553720e+01    2.055127e+03
  2.564115e+01    2.051796e+03
  2.574511e+01    2.080193e+03
  2.584907e+01    2.071956e+03
  2.595303e+01    2.066847e+03
  2.605698e+01    2.053153e+03
  2.616094e+01    2.039296e+03
  2.626490e+01    2.024934e+03
  2.636886e+01    2.019545e+03
  2.647281e+01    2.015367e+03
  2.657677e+01    2.011672e+03
  2.668073e+01    2.010122e+03
  2.678469e+01    2.004217e+03
  2.688864e+01    1.995091e+03
  2.699260e+01    1.987217e+03
  2.709656e+01    1.989069e+03
  2.720052e+01    1.980810e+03
  2.730447e+01    1.976772e+03
  2.740843e+01    1.991727e+03
  2.751239e+01    1.978634e+03
  2.761635e+01    1.965561e+03
  2.772030e+01    1.957965e+03
  2.782426e+01    1.947808e+03
  2.792822e+01    1.941246e+03
  2.803218e+01    1.936940e+03
  2.813613e+01    1.927598e+03
  2.824009e+01    1.930376e+03
  2.834405e+01    1.934290e+03
  2.844801e+01    1.925710e+03
  2.855196e+01    1.916942e+03
  2.865592e+01    1.911340e+03
  2.875988e+01    1.906556e+03
  2.886383e+01    1.901357e+03
  2.896779e+01    1.905844e+03
  2.907175e+01    1.925729e+03
  2.917571e+01    1.926729e+03
  2.927966e+01    1.910942e+03
  2.938362e+01    1.898281e+03
  2.948758e+01    1.887212e+03
  2.959154e+01    1.882459e+03
  2.969549e+01    1.883985e+03
  2.979945e+01    1.886621e+03
  2.990341e+01    1.878801e+03
  3.000737e+01    1.870818e+03
  3.011132e+01    1.864732e+03
