# == pyFAI calibration ==
# Distance Sample to Detector: 0.2946421923531691 m
# PONI: 2.875e-01, 2.439e-01 m
# Rotations: -0.010990 -0.009181 0.000003 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 294.672 mm
# Center: x=1436.809, y=1655.851 pix
# Tilt: 0.820 deg  TiltPlanRot: -39.874 deg
# 
# Detector Pilatus 2M	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 2.0732883349524408e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# --> /gpfs/current/raw/FMue_3/FMue_3_20231024_175355_00021.dat
#       2th_deg             I 
  6.762477e-02             nan
  1.715822e-01             nan
  2.755396e-01             nan
  3.794971e-01             nan
  4.834545e-01             nan
  5.874120e-01             nan
  6.913694e-01             nan
  7.953268e-01    9.665804e+03
  8.992843e-01    8.929890e+03
  1.003242e+00    8.107229e+03
  1.107199e+00    7.904510e+03
  1.211157e+00    7.964316e+03
  1.315114e+00    8.164641e+03
  1.419071e+00    9.035417e+03
  1.523029e+00    2.231793e+04
  1.626986e+00    2.412896e+04
  1.730944e+00    1.015478e+04
  1.834901e+00    9.710779e+03
  1.938859e+00    1.020117e+04
  2.042816e+00    9.962523e+03
  2.146774e+00    1.018649e+04
  2.250731e+00    1.082614e+04
  2.354688e+00    1.181591e+04
  2.458646e+00    1.283322e+04
  2.562603e+00    1.368613e+04
  2.666561e+00    1.448166e+04
  2.770518e+00    1.473318e+04
  2.874476e+00    1.470804e+04
  2.978433e+00    1.423890e+04
  3.082390e+00    1.649098e+04
  3.186348e+00    1.769641e+04
  3.290305e+00    1.217611e+04
  3.394263e+00    1.048440e+04
  3.498220e+00    9.723740e+03
  3.602178e+00    9.248952e+03
  3.706135e+00    9.171518e+03
  3.810093e+00    8.624631e+03
  3.914050e+00    7.984609e+03
  4.018007e+00    7.878040e+03
  4.121965e+00    8.083709e+03
  4.225922e+00    8.241520e+03
  4.329880e+00    8.455829e+03
  4.433837e+00    8.119324e+03
  4.537795e+00    1.171188e+04
  4.641752e+00    1.171246e+04
  4.745709e+00    8.096642e+03
  4.849667e+00    8.632772e+03
  4.953624e+00    9.013635e+03
  5.057582e+00    8.611694e+03
  5.161539e+00    1.224646e+04
  5.265497e+00    9.472237e+03
  5.369454e+00    6.060956e+03
  5.473412e+00    5.489999e+03
  5.577369e+00    5.293895e+03
  5.681326e+00    5.355407e+03
  5.785284e+00    6.149756e+03
  5.889241e+00    7.816806e+03
  5.993199e+00    8.895789e+03
  6.097156e+00    1.082702e+04
  6.201114e+00    9.530523e+03
  6.305071e+00    6.147907e+03
  6.409028e+00    5.935001e+03
  6.512986e+00    5.289875e+03
  6.616943e+00    5.071544e+03
  6.720901e+00    4.989540e+03
  6.824858e+00    5.388429e+03
  6.928816e+00    6.324447e+03
  7.032773e+00    5.193967e+03
  7.136731e+00    4.996125e+03
  7.240688e+00    5.431840e+03
  7.344645e+00    5.995915e+03
  7.448603e+00    5.269823e+03
  7.552560e+00    5.270459e+03
  7.656518e+00    6.231222e+03
  7.760475e+00    8.283257e+03
  7.864433e+00    8.469566e+03
  7.968390e+00    7.754009e+03
  8.072347e+00    6.283646e+03
  8.176305e+00    7.154358e+03
  8.280262e+00    7.548438e+03
  8.384220e+00    9.695673e+03
  8.488177e+00    1.187488e+04
  8.592135e+00    1.029939e+04
  8.696092e+00    6.576596e+03
  8.800050e+00    5.283759e+03
  8.904007e+00    5.323027e+03
  9.007964e+00    6.051107e+03
  9.111922e+00    5.752240e+03
  9.215879e+00    5.376361e+03
  9.319837e+00    5.816354e+03
  9.423794e+00    5.696149e+03
  9.527752e+00    5.924276e+03
  9.631709e+00    5.630400e+03
  9.735666e+00    5.189466e+03
  9.839624e+00    5.221551e+03
  9.943581e+00    5.288438e+03
  1.004754e+01    4.837855e+03
  1.015150e+01    4.444332e+03
  1.025545e+01    4.331194e+03
  1.035941e+01    4.582501e+03
  1.046337e+01    4.473125e+03
  1.056733e+01    3.961275e+03
  1.067128e+01    3.981834e+03
  1.077524e+01    3.698270e+03
  1.087920e+01    3.552632e+03
  1.098316e+01    3.674520e+03
  1.108711e+01    3.718361e+03
  1.119107e+01    3.673276e+03
  1.129503e+01    3.875000e+03
  1.139899e+01    3.814808e+03
  1.150294e+01    3.799472e+03
  1.160690e+01    3.773287e+03
  1.171086e+01    3.712532e+03
  1.181482e+01    4.101850e+03
  1.191877e+01    4.432042e+03
  1.202273e+01    4.026988e+03
  1.212669e+01    4.159821e+03
  1.223064e+01    4.069985e+03
  1.233460e+01    3.904390e+03
  1.243856e+01    3.709463e+03
  1.254252e+01    3.730630e+03
  1.264647e+01    3.667225e+03
  1.275043e+01    3.466783e+03
