# == pyFAI calibration ==
# Distance Sample to Detector: 0.2946421923531691 m
# PONI: 2.875e-01, 2.439e-01 m
# Rotations: -0.010990 -0.009181 0.000003 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 294.672 mm
# Center: x=1436.809, y=1655.851 pix
# Tilt: 0.820 deg  TiltPlanRot: -39.874 deg
# 
# Detector Pilatus 2M	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 2.0732883349524408e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# --> /gpfs/current/raw/FMue_3/FMue_3_20231024_175355_00057.dat
#       2th_deg             I 
  6.762477e-02             nan
  1.715822e-01             nan
  2.755396e-01             nan
  3.794971e-01             nan
  4.834545e-01             nan
  5.874120e-01             nan
  6.913694e-01             nan
  7.953268e-01    1.158466e+04
  8.992843e-01    1.047731e+04
  1.003242e+00    9.233805e+03
  1.107199e+00    8.787085e+03
  1.211157e+00    8.694312e+03
  1.315114e+00    8.779744e+03
  1.419071e+00    9.134851e+03
  1.523029e+00    9.930951e+03
  1.626986e+00    1.203704e+04
  1.730944e+00    1.573593e+04
  1.834901e+00    1.526144e+04
  1.938859e+00    1.193471e+04
  2.042816e+00    1.048512e+04
  2.146774e+00    1.044379e+04
  2.250731e+00    1.097958e+04
  2.354688e+00    1.190557e+04
  2.458646e+00    1.271708e+04
  2.562603e+00    1.356704e+04
  2.666561e+00    1.434107e+04
  2.770518e+00    1.461232e+04
  2.874476e+00    1.459768e+04
  2.978433e+00    1.404940e+04
  3.082390e+00    1.332467e+04
  3.186348e+00    1.241983e+04
  3.290305e+00    1.160812e+04
  3.394263e+00    1.097793e+04
  3.498220e+00    1.040859e+04
  3.602178e+00    9.701810e+03
  3.706135e+00    9.283937e+03
  3.810093e+00    8.594876e+03
  3.914050e+00    7.947703e+03
  4.018007e+00    7.867689e+03
  4.121965e+00    8.093730e+03
  4.225922e+00    8.280788e+03
  4.329880e+00    8.617401e+03
  4.433837e+00    8.816384e+03
  4.537795e+00    9.196553e+03
  4.641752e+00    8.906948e+03
  4.745709e+00    9.265640e+03
  4.849667e+00    9.984795e+03
  4.953624e+00    9.870970e+03
  5.057582e+00    9.268169e+03
  5.161539e+00    8.726985e+03
  5.265497e+00    7.697427e+03
  5.369454e+00    6.547792e+03
  5.473412e+00    6.071247e+03
  5.577369e+00    5.906343e+03
  5.681326e+00    5.923069e+03
  5.785284e+00    6.461778e+03
  5.889241e+00    8.313071e+03
  5.993199e+00    9.087790e+03
  6.097156e+00    7.836674e+03
  6.201114e+00    6.447406e+03
  6.305071e+00    5.947430e+03
  6.409028e+00    6.042521e+03
  6.512986e+00    5.560308e+03
  6.616943e+00    5.381423e+03
  6.720901e+00    5.276673e+03
  6.824858e+00    5.138305e+03
  6.928816e+00    5.145634e+03
  7.032773e+00    5.212906e+03
  7.136731e+00    5.317474e+03
  7.240688e+00    5.301604e+03
  7.344645e+00    5.303455e+03
  7.448603e+00    5.398402e+03
  7.552560e+00    5.682485e+03
  7.656518e+00    6.550280e+03
  7.760475e+00    7.913808e+03
  7.864433e+00    7.799430e+03
  7.968390e+00    6.966064e+03
  8.072347e+00    6.624576e+03
  8.176305e+00    6.812005e+03
  8.280262e+00    7.302587e+03
  8.384220e+00    9.043929e+03
  8.488177e+00    1.183490e+04
  8.592135e+00    9.879104e+03
  8.696092e+00    6.406541e+03
  8.800050e+00    5.497747e+03
  8.904007e+00    5.487252e+03
  9.007964e+00    5.778421e+03
  9.111922e+00    5.673807e+03
  9.215879e+00    5.450697e+03
  9.319837e+00    5.378630e+03
  9.423794e+00    5.368618e+03
  9.527752e+00    5.293869e+03
  9.631709e+00    5.236732e+03
  9.735666e+00    5.129022e+03
  9.839624e+00    4.971219e+03
  9.943581e+00    4.797570e+03
  1.004754e+01    4.647996e+03
  1.015150e+01    4.484676e+03
  1.025545e+01    4.382335e+03
  1.035941e+01    4.444196e+03
  1.046337e+01    4.358420e+03
  1.056733e+01    3.939454e+03
  1.067128e+01    3.772678e+03
  1.077524e+01    3.661115e+03
  1.087920e+01    3.546110e+03
  1.098316e+01    3.490060e+03
  1.108711e+01    3.498974e+03
  1.119107e+01    3.562306e+03
  1.129503e+01    3.671609e+03
  1.139899e+01    3.769874e+03
  1.150294e+01    3.788848e+03
  1.160690e+01    3.739229e+03
  1.171086e+01    3.783648e+03
  1.181482e+01    4.068663e+03
  1.191877e+01    4.265023e+03
  1.202273e+01    4.038440e+03
  1.212669e+01    3.833772e+03
  1.223064e+01    3.717676e+03
  1.233460e+01    3.596475e+03
  1.243856e+01    3.535642e+03
  1.254252e+01    3.490028e+03
  1.264647e+01    3.443745e+03
  1.275043e+01    3.465120e+03
