# == pyFAI calibration ==
# Distance Sample to Detector: 0.2946421923531691 m
# PONI: 2.875e-01, 2.439e-01 m
# Rotations: -0.010990 -0.009181 0.000003 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 294.672 mm
# Center: x=1436.809, y=1655.851 pix
# Tilt: 0.820 deg  TiltPlanRot: -39.874 deg
# 
# Detector Pilatus 2M	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 2.0732883349524408e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# --> /gpfs/current/raw/FMue_3/FMue_3_20231024_175355_00074.dat
#       2th_deg             I 
  6.762477e-02             nan
  1.715822e-01             nan
  2.755396e-01             nan
  3.794971e-01             nan
  4.834545e-01             nan
  5.874120e-01             nan
  6.913694e-01             nan
  7.953268e-01    1.428073e+04
  8.992843e-01    1.253112e+04
  1.003242e+00    1.062980e+04
  1.107199e+00    9.779842e+03
  1.211157e+00    9.379009e+03
  1.315114e+00    9.198522e+03
  1.419071e+00    9.209551e+03
  1.523029e+00    9.306429e+03
  1.626986e+00    9.518539e+03
  1.730944e+00    9.900590e+03
  1.834901e+00    1.054107e+04
  1.938859e+00    1.090354e+04
  2.042816e+00    1.045175e+04
  2.146774e+00    1.055641e+04
  2.250731e+00    1.116724e+04
  2.354688e+00    1.215541e+04
  2.458646e+00    1.286156e+04
  2.562603e+00    1.379037e+04
  2.666561e+00    1.454898e+04
  2.770518e+00    1.482870e+04
  2.874476e+00    1.479532e+04
  2.978433e+00    1.418889e+04
  3.082390e+00    1.343157e+04
  3.186348e+00    1.246912e+04
  3.290305e+00    1.156221e+04
  3.394263e+00    1.072173e+04
  3.498220e+00    1.003741e+04
  3.602178e+00    9.583044e+03
  3.706135e+00    9.493760e+03
  3.810093e+00    8.950249e+03
  3.914050e+00    8.393039e+03
  4.018007e+00    8.388854e+03
  4.121965e+00    8.698026e+03
  4.225922e+00    8.901812e+03
  4.329880e+00    9.146604e+03
  4.433837e+00    8.630087e+03
  4.537795e+00    8.511598e+03
  4.641752e+00    8.845687e+03
  4.745709e+00    9.564315e+03
  4.849667e+00    1.039566e+04
  4.953624e+00    1.016667e+04
  5.057582e+00    9.417473e+03
  5.161539e+00    8.708094e+03
  5.265497e+00    7.564463e+03
  5.369454e+00    6.399283e+03
  5.473412e+00    5.967813e+03
  5.577369e+00    5.858584e+03
  5.681326e+00    5.972116e+03
  5.785284e+00    6.657075e+03
  5.889241e+00    8.617022e+03
  5.993199e+00    9.306842e+03
  6.097156e+00    7.898478e+03
  6.201114e+00    6.415701e+03
  6.305071e+00    5.855199e+03
  6.409028e+00    5.932914e+03
  6.512986e+00    5.480818e+03
  6.616943e+00    5.285523e+03
  6.720901e+00    5.167889e+03
  6.824858e+00    5.006387e+03
  6.928816e+00    5.025530e+03
  7.032773e+00    5.154367e+03
  7.136731e+00    5.313347e+03
  7.240688e+00    5.375858e+03
  7.344645e+00    5.452035e+03
  7.448603e+00    5.620234e+03
  7.552560e+00    5.924088e+03
  7.656518e+00    6.483523e+03
  7.760475e+00    6.961722e+03
  7.864433e+00    7.030317e+03
  7.968390e+00    6.899686e+03
  8.072347e+00    6.894672e+03
  8.176305e+00    7.359839e+03
  8.280262e+00    8.124863e+03
  8.384220e+00    9.946234e+03
  8.488177e+00    1.251946e+04
  8.592135e+00    1.022659e+04
  8.696092e+00    6.605788e+03
  8.800050e+00    5.631836e+03
  8.904007e+00    5.463165e+03
  9.007964e+00    5.582514e+03
  9.111922e+00    5.542390e+03
  9.215879e+00    5.396139e+03
  9.319837e+00    5.368949e+03
  9.423794e+00    5.410629e+03
  9.527752e+00    5.383115e+03
  9.631709e+00    5.375095e+03
  9.735666e+00    5.266358e+03
  9.839624e+00    5.091798e+03
  9.943581e+00    4.877405e+03
  1.004754e+01    4.719436e+03
  1.015150e+01    4.550024e+03
  1.025545e+01    4.440444e+03
  1.035941e+01    4.485889e+03
  1.046337e+01    4.373572e+03
  1.056733e+01    3.959527e+03
  1.067128e+01    3.792167e+03
  1.077524e+01    3.693430e+03
  1.087920e+01    3.590238e+03
  1.098316e+01    3.561240e+03
  1.108711e+01    3.593010e+03
  1.119107e+01    3.682490e+03
  1.129503e+01    3.799832e+03
  1.139899e+01    3.893153e+03
  1.150294e+01    3.892498e+03
  1.160690e+01    3.818994e+03
  1.171086e+01    3.828538e+03
  1.181482e+01    4.014164e+03
  1.191877e+01    4.112078e+03
  1.202273e+01    3.901962e+03
  1.212669e+01    3.745093e+03
  1.223064e+01    3.661041e+03
  1.233460e+01    3.567802e+03
  1.243856e+01    3.537098e+03
  1.254252e+01    3.523654e+03
  1.264647e+01    3.507289e+03
  1.275043e+01    3.544445e+03
